"reference_date","target","horizon","target_end_date","age_group","output_type","output_type_id","value"
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.01,79
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.025,85
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.05,92
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.1,99
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.15,104
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.2,108
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.25,111
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.3,114
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.35,117
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.4,120
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.45,123
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.5,126
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.55,130
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.6,133
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.65,136
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.7,140
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.75,143
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.8,147
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.85,153
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.9,160
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.95,171
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.975,180
2026-05-30,"SARI",-3,2026-05-09,"Adults","quantile",0.99,193
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.01,241
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.025,256
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.05,267
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.1,282
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.15,293
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.2,301
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.25,307
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.3,314
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.35,321
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.4,327
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.45,333
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.5,339
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.55,345
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.6,350
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.65,357
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.7,365
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.75,373
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.8,381
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.85,392
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.9,404
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.95,423
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.975,444
2026-05-30,"SARI",-3,2026-05-09,"Overall","quantile",0.99,467
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.01,139
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.025,150
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.05,157
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.1,168
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.15,176
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.2,182
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.25,188
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.3,192
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.35,197
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.4,201
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.45,206
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.5,211
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.55,215
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.6,220
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.65,225
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.7,230
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.75,236
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.8,243
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.85,251
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.9,262
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.95,277
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.975,291
2026-05-30,"SARI",-3,2026-05-09,"Pediatrics","quantile",0.99,309
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.01,85
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.025,94
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.05,100
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.1,110
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.15,116
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.2,122
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.25,127
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.3,131
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.35,135
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.4,139
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.45,144
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.5,148
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.55,153
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.6,158
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.65,163
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.7,168
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.75,173
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.8,180
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.85,188
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.9,199
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.95,216
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.975,230
2026-05-30,"SARI",-2,2026-05-16,"Adults","quantile",0.99,249
2026-05-30,"SARI",-2,2026-05-16,"Overall","quantile",0.01,258
2026-05-30,"SARI",-2,2026-05-16,"Overall","quantile",0.025,274
2026-05-30,"SARI",-2,2026-05-16,"Overall","quantile",0.05,291
2026-05-30,"SARI",-2,2026-05-16,"Overall","quantile",0.1,313
2026-05-30,"SARI",-2,2026-05-16,"Overall","quantile",0.15,328
